H [A/m] - Hystereschleife	
	B [T] - Hystereschleife
	H [A/m] - Neukurve
	B [T] - Neukurve
	
52,2493	0,0962605
52,2493	0,0963042
52,1557	0,096347
52,0154	0,0963884
51,9218	0,0964287
51,8283	0,0964683
51,8283	0,0965067
51,5476	0,0965436
51,5009	0,0965796
51,3605	0,0966151
51,267	0,0966496
51,1734	0,0966827
51,0799	0,0967146
50,9863	0,0967457
50,7992	0,0967757
50,6589	0,0968043
50,7524	0,0968318
50,5185	0,0968585
50,425	0,0968839
50,3314	0,0969079
50,2847	0,0969311
50,0976	0,0969533
49,9572	0,0969739
49,8637	0,0969934
49,7233	0,0970125
49,5362	0,0970308
49,5362	0,0970477
49,3491	0,0970635
49,2088	0,0970784
49,0685	0,0970925
48,9749	0,0971055
48,9281	0,0971171
48,7878	0,0971279
48,6475	0,0971375
48,5072	0,0971457
48,4136	0,0971529
48,3201	0,0971596
48,2733	0,0971652
48,0862	0,0971693
47,8991	0,0971725
47,9458	0,0971752
47,712	0,0971767
47,5249	0,0971768
47,4313	0,097176
47,3845	0,0971747
47,2442	0,0971724
46,9635	0,0971684
46,9635	0,0971633
46,7764	0,0971573
46,5893	0,0971499
46,5425	0,097141
46,4022	0,0971315
46,1683	0,0971211
46,1216	0,0971093
45,9812	0,0970963
45,9345	0,0970827
45,607	0,0970682
45,5602	0,0970522
45,4667	0,097035
45,2796	0,0970174
45,2328	0,0969992
45,0457	0,0969794
44,9989	0,0969583
44,7183	0,0969364
44,5312	0,0969139
44,5312	0,0968897
44,2037	0,0968643
44,157	0,0968383
44,0166	0,096811
43,8295	0,096782
43,6892	0,0967521
43,5489	0,0967213
43,5489	0,0966891
43,1746	0,0966557
43,0343	0,0966218
43,0343	0,0965872
42,8004	0,0965516
42,473	0,0965144
42,5666	0,096476
42,3327	0,0964367
42,1456	0,0963959
42,0052	0,0963539
41,9117	0,0963112
41,7246	0,0962674
41,4907	0,0962221
41,4439	0,0961759
41,1633	0,0961288
41,0229	0,0960804
40,9294	0,0960306
40,6487	0,0959801
40,4616	0,0959288
40,3213	0,095876
40,2277	0,095822
39,9938	0,0957675
39,9471	0,0957123
39,76	0,0956556
39,6664	0,0955976
39,4325	0,0955389
39,2922	0,0954794
39,1051	0,0954184
